mid,title,rating,ranking,type,genre,rdate,language,cover,description,trailer,released,year
1795096,Behzat Ç.: Bir Ankara Polisiyesi,8.8,150,tv series,"[""Crime"", ""Drama"", ""Mystery"", ""Thriller""]",2010-2019,"[""Turkish""]",https://m.media-amazon.com/images/M/MV5BZDZjY2I5ZjEtZGE2MS00ZjRmLTlmMGEtMDQ5ZmZhZWJjYzk3XkEyXkFqcGdeQXVyNDg4MjkzNDk@.jpg,"Centered around a personally troubled, officially discredited police chief and his inharmonious police team in Ankara Police Force. Even though the show usually focuses on murders and other crimes that happens on a weekly basis, the undertone of the story leads to an eventual duel between Behzat Ç. and the rotten department officials and bureaucrats.::ahmetkozan",Null,TRUE,2010
0203082,Rurouni Kenshin: Trust and Betrayal,8.6,151,tv series,"[""Animation"", ""Action"", ""Adventure"", ""Drama"", ""History""]",1999-1999,"[""Japanese""]",https://m.media-amazon.com/images/M/MV5BM2FiOWE5MjctNWMxMC00ZTE5LWFmMGMtNzVlZjRhZDMzNTFmXkEyXkFqcGdeQXVyNTAyODkwOQ@@.jpg,"In the era of Japan's Meiji Restoration, an assassin regains his humanity.",Null,TRUE,1999
0380136,QI,8.6,152,tv series,"[""Comedy"", ""Game-Show""]",2003-,"[""English""]",https://m.media-amazon.com/images/M/MV5BMjgyYWUxNGMtMGMwZi00OWIyLTkwN2ItOWYyYWUxYzcyNzUwXkEyXkFqcGdeQXVyNjg0NTcxMTg@.jpg,"A comedy panel game in which being Quite Interesting is more important than being right. Sandi Toksvig is joined each week by four comedians to share anecdotes and trivia, and maybe answer some questions as well.",https://www.youtube.com/watch?v=CSquFeBfjlQ,TRUE,2003
8595766,Yeh Meri Family,9.1,153,tv series,"[""Comedy"", ""Drama"", ""Family"", ""Musical"", ""Romance""]",2018-2018,"[""Hindi""]",https://m.media-amazon.com/images/M/MV5BZWMxMjBiZmUtMjM1Yi00ODk4LWE4MjctNmFlYzIzNmE4MmU4XkEyXkFqcGdeQXVyNzEyNTM4MTU@.jpg,Set in the summer of 1998 it is a story about conflicting emotions towards family members from the eyes of a twelve year old.,Null,TRUE,2018
0094525,Poirot,8.6,154,tv series,"[""Crime"", ""Drama"", ""Mystery"", ""Thriller""]",1989-2013,"[""English"", ""French""]",https://m.media-amazon.com/images/M/MV5BODljYzNlZTMtMWIwNi00N2QzLWE2ZTAtZDBmYzIwYzhlZDY2XkEyXkFqcGdeQXVyMjExMjk0ODk@.jpg,"The cases of eccentric, but sharp, Belgian detective Hercule Poirot.",Null,TRUE,1989
1513168,Through the Wormhole,8.6,155,tv series,"[""Documentary""]",2010-2017,"[""English""]",https://m.media-amazon.com/images/M/MV5BMDhkMTY2NGQtMWY4Mi00ZjhmLWIzNGYtZDJhODkwNTM5NTIzXkEyXkFqcGdeQXVyNDk3NDEzMzk@.jpg,"Hosted by Morgan Freeman, Through the Wormhole will explore the deepest mysteries of existence - the questions that have puzzled mankind for eternity. What are we made of? What was there before the beginning? Are we really alone? Is there a creator? These questions have been pondered by the most exquisite minds of the human race. Now, science has evolved to the point where hard facts and evidence may be able to provide us with answers instead of philosophical theories. Through the Wormhole will bring together the brightest minds and best ideas from the very edges of science - Astrophysics, Astrobiology, Quantum Mechanics, String Theory, and more - to reveal the extraordinary truth of our Universe.::Anonymous",Null,TRUE,2010
4236770,Yellowstone,8.7,156,tv series,"[""Drama"", ""Western""]",2018-,"[""English""]",https://m.media-amazon.com/images/M/MV5BZjhkNWM1NTQtODI4NS00NzllLTg1ODAtYjg3N2QxZjc3ZjRiXkEyXkFqcGdeQXVyNDIzMzcwNjc@.jpg,A ranching family in Montana faces off against others encroaching on their land.,Null,TRUE,2018
5189670,Making a Murderer,8.5,157,tv series,"[""Documentary"", ""Crime""]",2015-2018,"[""English""]",https://m.media-amazon.com/images/M/MV5BMTg4Mjc1NjE4Ml5BMl5BanBnXkFtZTgwMjk2NjA1NjM@.jpg,"Filmed over a 10-year period, Steven Avery, a DNA exoneree who, while in the midst of exposing corruption in local law enforcement, finds himself the prime suspect in a grisly new crime.",Null,TRUE,2015
1489428,Justified,8.6,158,tv series,"[""Action"", ""Crime"", ""Drama"", ""Mystery"", ""Thriller"", ""Western""]",2010-2015,"[""English""]",https://m.media-amazon.com/images/M/MV5BMTgzNjQ4NjM1NF5BMl5BanBnXkFtZTcwNzQ4OTEzNw@@.jpg,"U.S. Marshal Raylan Givens is reassigned from Miami to his childhood home in the poor, rural coal mining towns of eastern Kentucky.",Null,TRUE,2010
9544034,The Family Man,8.8,159,tv series,"[""Action"", ""Comedy"", ""Drama""]",2019-,"[""Hindi""]",https://m.media-amazon.com/images/M/MV5BMzRjZWVmMzItNTdmYS00OWEzLTgyOGUtNThiNTU2ZThlYjY0XkEyXkFqcGdeQXVyMTIxMDk2NDE4.jpg,"A working man from the National Investigation Agency tries to protect the nation from terrorism, but he also needs to keep his family safe from his secret job.",Null,TRUE,2019
