mid,title,rating,ranking,type,genre,rdate,language,cover,description,trailer,released,year
2278388,The Grand Budapest Hotel,8.1,189,movie,"[""Adventure"", ""Comedy"", ""Crime""]",25 Jul 2014 (India),"[""English"", ""French"", ""German""]",https://m.media-amazon.com/images/M/MV5BMzM5NjUxOTEyMl5BMl5BanBnXkFtZTgwNjEyMDM0MDE@.jpg,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.",https://www.youtube.com/watch?v=1Fg5iWmQjwk,TRUE,2014
17925,The General,8.1,190,movie,"[""Action"", ""Adventure"", ""Comedy"", ""Drama"", ""War""]",02 Jan 1927 (USA),"[""English""]",https://m.media-amazon.com/images/M/MV5BYmRiMDFlYjYtOTMwYy00OGY2LWE0Y2QtYzQxOGNhZmUwNTIxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@.jpg,"After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through enemy lines.",Null,TRUE,1927
1205489,Gran Torino,8.1,191,movie,"[""Drama""]",13 Mar 2009 (India),"[""English"", ""Hmong""]",https://m.media-amazon.com/images/M/MV5BMTc5NTk2OTU1Nl5BMl5BanBnXkFtZTcwMDc3NjAwMg@@.jpg,"Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.",https://www.youtube.com/watch?v=RMhbr2XQblk,TRUE,2009
15324,Sherlock Jr.,8.2,192,movie,"[""Action"", ""Comedy"", ""Romance""]",May 1924 (Canada),"[""None"", ""English""]",https://m.media-amazon.com/images/M/MV5BZWFhOGU5NDctY2Q3YS00Y2VlLWI1NzEtZmIwY2ZiZjY4OTA2XkEyXkFqcGdeQXVyMDI2NDg0NQ@@.jpg,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.",Null,TRUE,1924
60827,Persona,8.1,193,movie,"[""Drama"", ""Thriller""]",18 Oct 1966 (Sweden),"[""Swedish"", ""English""]",https://m.media-amazon.com/images/M/MV5BMTM0YzExY2EtMjUyZi00ZmIwLWFkYTktNjY5NmVkYTdkMjI5XkEyXkFqcGdeQXVyNzQxNDExNTU@.jpg,A nurse is put in charge of a mute actress and finds that their personae are melding together.,Null,TRUE,1966
112471,Before Sunrise,8.1,194,movie,"[""Drama"", ""Romance""]",09 Dec 2019 (India),"[""English"", ""German"", ""French""]",https://m.media-amazon.com/images/M/MV5BZDdiZTAwYzAtMDI3Ni00OTRjLTkzN2UtMGE3MDMyZmU4NTU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@.jpg,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",Null,TRUE,2019
978762,Mary and Max,8.1,195,movie,"[""Animation"", ""Comedy"", ""Drama"", ""Family""]",09 Apr 2009 (Australia),"[""English"", ""Yiddish""]",https://m.media-amazon.com/images/M/MV5BMDgzYjQwMDMtNGUzYi00MTRmLWIyMGMtNjE1OGZkNzY2YWIzL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@.jpg,"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York.",https://www.youtube.com/watch?v=MgRjB8PEDkM,TRUE,2009
264464,Catch Me If You Can,8.1,196,movie,"[""Biography"", ""Crime"", ""Drama""]",30 Apr 2020 (India),"[""English"", ""French""]",https://m.media-amazon.com/images/M/MV5BMTY5MzYzNjc5NV5BMl5BanBnXkFtZTYwNTUyNTc2.jpg,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",https://www.youtube.com/watch?v=s-7pyIxz8Qg,TRUE,2020
31679,Mr. Smith Goes to Washington,8.1,197,movie,"[""Comedy"", ""Drama""]",19 Oct 1939 (USA),"[""English""]",https://m.media-amazon.com/images/M/MV5BZTYwYjYxYzgtMDE1Ni00NzU4LWJlMTEtODQ5YmJmMGJhZjI5L2ltYWdlXkEyXkFqcGdeQXVyMDI2NDg0NQ@@.jpg,"A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his character.",Null,TRUE,1939
107207,In the Name of the Father,8.1,198,movie,"[""Biography"", ""Crime"", ""Drama""]",27 Dec 1993 (Ireland),"[""English""]",https://m.media-amazon.com/images/M/MV5BMmYyOTgwYWItYmU3Ny00M2E2LTk0NWMtMDVlNmQ0MWZiMTMxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@.jpg,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,Null,TRUE,1993
