mid,title,rating,rank,type,genre,rdate,language,cover,description,trailer,released,year
69,Cluster Edge,PG-13 - Teens 13 or older,6985,anime,"[""Action"", ""Fantasy"", ""Sci-Fi""]",Fall 2005,"[""Japanese""]",https://cdn.myanimelist.net/images/anime/1980/103243.jpg,"Cluster Edge Academy isn't just any school; it's THE school, where the offspring of the elite come together to prepare for their roles running a world where artificial soldiers and religious sects are major factors in the battle for total control. Which may be part of why new transfer student Agate Fluorite doesn't quite seem to fit in. It's not just that Agate's enthusiastic attitude stands out among the somber, brooding balance of the student body. There's something about him that demands notice, even from jaded honors students like Beryl Jasper, and from the moment of arrival he's been at the center of a series of mysteries that not even Agate understands. Because Agate's not just another student, he's part of a something so momentous, and dangerous, that the world that built Cluster Edge may not survive its passing.   (Source: Sentai Filmworks)",Null,TRUE,"Oct 5, 2005 to Mar 29, 2006"
71,Full Metal Panic!,R - 17+ (violence & profanity),1223,anime,"[""Action"", ""Comedy"", ""Sci-Fi""]",Winter 2002,"[""Japanese""]",https://cdn.myanimelist.net/images/anime/2/75259.jpg,"Equipped with cutting-edge weaponry and specialized troops, a private military organization named Mithril strives to extinguish the world's terrorism and all threats to peace on earth. The organization is powered by the ""Whispered,"" individuals who possess intuitive knowledge and the remarkable ability to create powerful devices and machinery.  Seventeen-year-old Sousuke Sagara, a sergeant working for Mithril, has been assigned to protect Kaname Chidori, a Whispered candidate. He is ordered to join her high school class and be as close to her as possible to prevent her from falling into enemy hands—that is, if he can safely blend in with their fellow classmates without revealing his true identity.  Sousuke, who was raised on a battlefield and has very little knowledge of an average high school student's lifestyle, must adapt to a normal school life to safeguard Kaname. However, enemy forces have already begun making their move, and Sousuke is about to find out that the adversary coming for the Whispered girl may be a lot more familiar than he expects.  [Written by MAL Rewrite]",Null,TRUE,"Jan 8, 2002 to Jun 18, 2002"
72,Full Metal Panic? Fumoffu,PG-13 - Teens 13 or older,487,anime,"[""Action"", ""Comedy""]",Summer 2003,"[""Japanese""]",https://cdn.myanimelist.net/images/anime/4/75260.jpg,"Sergeant Sousuke Sagara returns to Jindai High School to protect the precious war asset, Kaname Chidori, from any threat. However, his lack of social skills and real-life experience result in comical yet dangerous situations, endangering the peaceful school life Kaname longs for. As Sousuke continues to bring a wide range of weapons to school as a means to solve threats—real or fake—Kaname struggles to fulfill her duty as the student council vice president all while keeping him in check.   To ensure a successful mission, Sousuke is occasionally forced to use the costume of a famous amusement park mascot called Bonta-kun. With his technical expertise, he eventually transforms the exuberant uniform into a cutting-edge exoskeleton that has only one dysfunction: the voice translator can only produce the sound ""mofu.""   Full Metal Panic? Fumoffu depicts the adventures of Kaname and Sousuke as they try to live their normal school lives despite the chaos they inadvertently cause.   [Written by MAL Rewrite]",Null,TRUE,"Aug 26, 2003 to Nov 18, 2003"
73,Full Metal Panic! The Second Raid,R - 17+ (violence & profanity),630,anime,[],Summer 2005,"[""Japanese""]",https://cdn.myanimelist.net/images/anime/11/75261.jpg,"After overcoming various tumultuous events, mercenary sergeant Sousuke Sagara of Mithril and ""Whispered"" school girl Kaname Chidori return to their normal high school lives. Sousuke continues his efforts to assimilate with the civilian population and manage his mission at the same time, while Kaname attempts to support his endeavors (even though his antics often drive her up a wall).   However, as their lives calm, new problems begin to appear. The appearance of an independent terrorist organization  known as Amalgam and internal conflicts within Mithril threaten to wreak unity into a series of failures and betrayals. And new, powerful Arm Slave models only worsen the situation when the world's peace is at stake.   As Kaname and Sousuke face their own inner battles amidst life-threatening fights, will they be able to make the right choices and change their future?  [Written by MAL Rewrite]",Null,TRUE,"Jul 14, 2005 to Oct 20, 2005"
74,Gakuen Alice,G - All Ages,1210,anime,[],Fall 2004,"[""Japanese""]",https://cdn.myanimelist.net/images/anime/4/18118.jpg,"Mikan Sakura is a normal 10-year-old girl. Optimistic, energetic, and overall a very sweet child, Mikan is the complete opposite of the aloof, intelligent, and somewhat cold-hearted, Hotaru Imai. Despite their glaring differences, the two girls have been best friends for a very long time. So when Hotaru suddenly transfers to Alice Academy, a prestigious school in the city, her best friend is devastated—especially when she hears of the horrible rumors regarding the academy's harsh treatment of students. Beset with worry, Mikan runs away to see her best friend!  Upon her arrival, Mikan learns of ""Alices,"" individuals gifted with various supernatural abilities, and that the school is an institution built by the government to train and protect them. Discovering that she has her own unique powers, Mikan enrolls in the academy, and, after a lot of trouble, finally reunites with Hotaru.  Gakuen Alice is a heartwarming comedy that follows Mikan and her friends' adventures in the academy, as well as their attempt to uncover the mysteries surrounding the problematic, fire-wielding student Natsume Hyuuga.  [Written by MAL Rewrite]",Null,TRUE,"Oct 30, 2004 to May 14, 2005"
75,Soukyuu no Fafner: Dead Aggressor,PG-13 - Teens 13 or older,2494,anime,"[""Action"", ""Drama"", ""Sci-Fi""]",Summer 2004,"[""Japanese""]",https://cdn.myanimelist.net/images/anime/3/50365.jpg,"Tatsumiyajima is the central island in the middle of a small cluster of islands, in a sleepy backwater of the Japanese isles. Not much happens there, and the island's young people go to school knowing that their lives are likely to remain peaceful and undisturbed. Or so they have been taught... but the truth is different. The fate of mankind is on the line, and Tatsumiyajima is the last line of defense against a hostile and incomprehensible enemy. At the center of it all, fighting for Humanity's continued existence, is the giant robot Fafner, the dragon that guards this final treasure of mankind.  (Source: ANN)",Null,TRUE,"Jul 5, 2004 to Dec 27, 2004"
76,Mahou Shoujo Lyrical Nanoha,PG-13 - Teens 13 or older,1913,anime,"[""Action"", ""Comedy"", ""Drama""]",Fall 2004,"[""Japanese""]",https://cdn.myanimelist.net/images/anime/7/6770.jpg,"Nanoha Takamachi, an ordinary third-grader who enjoys spending time with her family and friends, rescues an injured ferret that she had dreamed about the night before. The next day, the ferret cries out to her telepathically, asking Nanoha to save him. The ferret reveals himself to be Yuuno Scrya, a mage from another world who is trying to collect the dangerous 21 Jewel Seeds that he accidentally scattered across the world. He enlists Nanoha's help, gifting her the magical wand Raising Heart, and teaches her how to become a powerful mage.  Days later, after reclaiming a few of the Jewel Seeds, another mage appears: Fate Testarossa. Stronger than Nanoha, Fate refuses to divulge her reasons in trying to collect the Jewel Seeds. Nanoha senses a melancholy in her eyes, but Fate refuses to communicate. Directed by Akiyuki Shinbo, Mahou Shoujo Lyrical Nanoha is a story about the clash of emotions when goals collide.  [Written by MAL Rewrite]",Null,TRUE,"Oct 3, 2004 to Dec 26, 2004"
79,Shuffle!,R+ - Mild Nudity,3519,anime,"[""Comedy"", ""Drama"", ""Fantasy"", ""Romance"", ""Ecchi""]",Summer 2005,"[""Japanese""]",https://cdn.myanimelist.net/images/anime/10/19622.jpg,"In present times, Gods and Demons coexist together with Humans after the door between each of these worlds had opened. Tsuchimi Rin is a normal young high school student attending Verbena Academy, spending his days living peacefully with his childhood friend Kaede. Unexpectedly, one day the King of Gods, the King of Demons and their families move into be Rin's next door neighbors. Apparently the daughter of the Gods, Sia, and the daughter of the demons, Nerine, are both deeply in love with Rin after having met him in the past. Along with his playful friendship with upperclassmen Asa and his encounter with the silent but cute Primula, Rin has much on his hands dealing with the affections of each of these girls. Based on the eroge by Navel.",Null,TRUE,"Jul 8, 2005 to Jan 6, 2006"
80,Mobile Suit Gundam,PG-13 - Teens 13 or older,918,anime,[],Spring 1979,"[""Japanese""]",https://cdn.myanimelist.net/images/anime/5/88524.jpg,"It is year 0079 of the Universal Century. Mankind has moved to space, living in colony clusters known as ""Sides."" One of these Sides declares itself the ""Principality of Zeon"" and declares war on the Earth Federation, the governmental body currently ruling Earth. Using powerful humanoid robots known as ""mobile suits,"" Zeon quickly gains the upper hand.  Nine months into the conflict, the Earth Federation has developed its own powerful mobile suit called the Gundam. When Zeon launches an attack on the colony holding the Gundam, a 15-year-old civilian named Amuro Ray suddenly finds himself thrown into a conflict that will take him all across Earth and space, pitting him against the enemy's ace pilot, Char Aznable.  [Written by MAL Rewrite]",Null,TRUE,"Apr 7, 1979 to Jan 26, 1980"
81,Mobile Suit Gundam: The 08th MS Team,PG-13 - Teens 13 or older,522,anime,"[""Adventure"", ""Drama"", ""Romance"", ""Sci-Fi""]",,"[""Japanese""]",https://cdn.myanimelist.net/images/anime/9/75618.jpg,"In year 0079 of the Universal Century, the Earth Federation initiates Operation Odessa—a full-scale assault to retake a major Ukrainian city from the Principality of Zeon. It is a success, and the remaining Zeon forces scatter across the globe. The Earth Federation gains the upper hand in the One Year War and deploys its ground troops around the planet to hunt down the stragglers.  As part of the deployments, Ensign Shiro Amada is transferred to Southeast Asia to take command of the 08th MS Team—a special squadron of RX-79[G] Gundam Ground Type pilots. In their first guerilla operation, Shiro's team is tasked with distracting the Zeon forces while Federation ground troops locate a mysterious new Zeon weapon. Everything goes according to plan until Shiro runs into Aina Sahalin, an ace Zeon pilot he met in an earlier battle, during a skirmish. Their reunion weakens his resolve to continue fighting, and now the young commander Shiro must prove his loyalty to the Federation—or be branded a traitor.  [Written by MAL Rewrite]",Null,TRUE,"Jan 25, 1996 to Jul 25, 1999"
